0	0	126	356	317	-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	102	405	287	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	101	329	286	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	117	-382	236	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	141	-404	276	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	351	-309	486	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	156	-387	394	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0	0	138	-12	214	-14	249	-16	425	-17	0	0	0	0	0	0	0	0	0	0	3
0	0	211	-25	309	-32	523	-42	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0	124	0	155	-2	274	-6	350	-12	462	-22	535	-28	568	-28	622	-30	0	0	3
0	0	123	2	218	-3	250	-7	303	-11	407	-15	459	-16	0	0	0	0	0	0	3
0	0	176	-12	236	-18	406	-24	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0	225	-37	378	-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0	0	-426	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	-471	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	-439	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	-447	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	-289	-39	-392	-47	-519	-55	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	-431	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	-106	0	-378	-35	-480	-38	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	-270	4	-490	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0	0	148	-279	225	-2	302	-302	375	27	0	0	0	0	0	0	0	0	0	0	5
0	0	123	-313	248	10	340	-338	408	20	0	0	0	0	0	0	0	0	0	0	5
0	0	132	-283	264	10	392	-315	462	29	0	0	0	0	0	0	0	0	0	0	5
0	0	156	-305	289	19	415	-326	503	53	0	0	0	0	0	0	0	0	0	0	5
0	0	-186	145	-14	278	96	70	59	-7	-34	-2	0	0	0	0	0	0	0	0	6
0	0	-161	169	-34	242	86	75	18	-7	0	0	0	0	0	0	0	0	0	0	6
0	0	-133	42	-147	122	-153	172	-43	268	77	99	4	-10	0	0	0	0	0	0	6
0	0	-154	71	-166	127	-14	260	78	104	13	-7	0	0	0	0	0	0	0	0	6
0	0	-124	21	-140	171	-44	338	127	45	99	-22	-27	20	0	0	0	0	0	0	6
0	0	-134	171	-24	282	63	117	-18	6	0	0	0	0	0	0	0	0	0	0	6
